instrument,marketPosition,quantity,entryPrice,exitPrice,entryTime,exitTime,profitCurrency,profitPoints,exitName
ES DEC26,Long,1,7515.5,7518.75,2026-07-01T03:30:00,2026-07-01T03:45:00,162.5,3.25,Close position
ES DEC26,Short,1,7518.75,7515,2026-07-01T03:45:00,2026-07-01T10:00:00,187.5,3.75,Close position
ES DEC26,Long,1,7515,7536.75,2026-07-01T10:00:00,2026-07-01T10:15:00,1087.5,21.75,Close position
ES DEC26,Short,1,7536.75,7542,2026-07-01T10:15:00,2026-07-01T16:15:00,-262.5,-5.25,Close position
ES DEC26,Long,1,7542,7530.5,2026-07-01T16:15:00,2026-07-01T17:00:00,-575,-11.5,Close position
ES DEC26,Short,1,7530.5,7532.75,2026-07-01T17:00:00,2026-07-01T17:00:00,-112.5,-2.25,Exit on session close
ES DEC26,Long,1,7542.5,7548.5,2026-07-02T01:00:00,2026-07-02T01:15:00,300,6,Close position
ES DEC26,Short,1,7548.5,7533.5,2026-07-02T01:15:00,2026-07-02T02:30:00,750,15,Close position
ES DEC26,Long,1,7533.5,7534,2026-07-02T02:30:00,2026-07-02T02:45:00,25,0.5,Close position
ES DEC26,Short,1,7534,7521.25,2026-07-02T02:45:00,2026-07-02T03:30:00,637.5,12.75,Close position
ES DEC26,Long,1,7521.25,7525,2026-07-02T03:30:00,2026-07-02T03:45:00,187.5,3.75,Close position
ES DEC26,Short,1,7525,7523,2026-07-02T03:45:00,2026-07-02T17:00:00,100,2,Exit on session close
ES DEC26,Long,1,7553.5,7547.25,2026-07-05T22:15:00,2026-07-05T22:45:00,-312.5,-6.25,Close position
ES DEC26,Short,1,7547.25,7541.75,2026-07-05T22:45:00,2026-07-05T23:00:00,275,5.5,Close position
ES DEC26,Long,1,7541.75,7544.25,2026-07-05T23:00:00,2026-07-05T23:15:00,125,2.5,Close position
ES DEC26,Short,1,7544.25,7556.5,2026-07-05T23:15:00,2026-07-06T08:15:00,-612.5,-12.25,Close position
ES DEC26,Long,1,7556.5,7562.75,2026-07-06T08:15:00,2026-07-06T08:30:00,312.5,6.25,Close position
ES DEC26,Short,1,7562.75,7596.75,2026-07-06T08:30:00,2026-07-06T17:00:00,-1700,-34,Exit on session close
ES DEC26,Long,1,7590.25,7586.25,2026-07-06T20:00:00,2026-07-06T20:30:00,-200,-4,Close position
ES DEC26,Short,1,7586.25,7579.25,2026-07-06T20:30:00,2026-07-06T23:15:00,350,7,Close position
ES DEC26,Long,1,7579.25,7579.75,2026-07-06T23:15:00,2026-07-06T23:30:00,25,0.5,Close position
ES DEC26,Short,1,7579.75,7575.25,2026-07-06T23:30:00,2026-07-06T23:45:00,225,4.5,Close position
ES DEC26,Long,1,7575.25,7574.5,2026-07-06T23:45:00,2026-07-07T00:00:00,-37.5,-0.75,Close position
ES DEC26,Short,1,7574.5,7566.25,2026-07-07T00:00:00,2026-07-07T10:15:00,412.5,8.25,Close position
ES DEC26,Long,1,7566.25,7542,2026-07-07T10:15:00,2026-07-07T11:15:00,-1212.5,-24.25,Close position
ES DEC26,Short,1,7542,7544.75,2026-07-07T11:15:00,2026-07-07T15:30:00,-137.5,-2.75,Close position
ES DEC26,Long,1,7544.75,7543,2026-07-07T15:30:00,2026-07-07T16:00:00,-87.5,-1.75,Close position
ES DEC26,Short,1,7543,7551.75,2026-07-07T16:00:00,2026-07-07T17:00:00,-437.5,-8.75,Exit on session close
ES DEC26,Long,1,7538.75,7547.5,2026-07-07T20:15:00,2026-07-07T20:30:00,437.5,8.75,Close position
ES DEC26,Short,1,7547.5,7544.25,2026-07-07T20:30:00,2026-07-08T02:00:00,162.5,3.25,Close position
ES DEC26,Long,1,7544.25,7543.75,2026-07-08T02:00:00,2026-07-08T02:15:00,-25,-0.5,Close position
ES DEC26,Short,1,7543.75,7534,2026-07-08T02:15:00,2026-07-08T03:00:00,487.5,9.75,Close position
ES DEC26,Long,1,7534,7539.25,2026-07-08T03:00:00,2026-07-08T03:15:00,262.5,5.25,Close position
ES DEC26,Short,1,7539.25,7497,2026-07-08T03:15:00,2026-07-08T04:45:00,2112.5,42.25,Close position
ES DEC26,Long,1,7497,7474.5,2026-07-08T04:45:00,2026-07-08T05:45:00,-1125,-22.5,Close position
ES DEC26,Short,1,7474.5,7486,2026-07-08T05:45:00,2026-07-08T11:30:00,-575,-11.5,Close position
ES DEC26,Long,1,7486,7482.25,2026-07-08T11:30:00,2026-07-08T12:00:00,-187.5,-3.75,Close position
ES DEC26,Short,1,7482.25,7514.75,2026-07-08T12:00:00,2026-07-08T17:00:00,-1625,-32.5,Close position
ES DEC26,Long,1,7514.75,7515.5,2026-07-08T17:00:00,2026-07-08T17:00:00,37.5,0.75,Exit on session close
ES DEC26,Long,1,7542.75,7542.25,2026-07-09T05:30:00,2026-07-09T05:45:00,-25,-0.5,Close position
ES DEC26,Short,1,7542.25,7536.5,2026-07-09T05:45:00,2026-07-09T06:00:00,287.5,5.75,Close position
ES DEC26,Long,1,7536.5,7541.75,2026-07-09T06:00:00,2026-07-09T06:15:00,262.5,5.25,Close position
ES DEC26,Short,1,7541.75,7586.25,2026-07-09T06:15:00,2026-07-09T17:00:00,-2225,-44.5,Exit on session close
ES DEC26,Long,1,7579.75,7580.75,2026-07-09T20:45:00,2026-07-09T21:15:00,50,1,Close position
ES DEC26,Short,1,7580.75,7571.75,2026-07-09T21:15:00,2026-07-10T02:45:00,450,9,Close position
ES DEC26,Long,1,7571.75,7572.75,2026-07-10T02:45:00,2026-07-10T03:00:00,50,1,Close position
ES DEC26,Short,1,7572.75,7626,2026-07-10T03:00:00,2026-07-10T17:00:00,-2662.5,-53.25,Exit on session close
